     MVS    FIELD   QMC ST       DATE        TIME             LAt             Lng     AltAmsl          AltRel        Baro        Roll       Pitch         Yaw         Bat
-------- 39893319 65535 81 26.09.2021 03:04:52,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 36775352 65535 85 26.09.2021 03:04:53,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 00000000 65535 20 26.09.2021 03:04:54,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 38993677 65535 81 26.09.2021 03:04:55,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 41328457 65535 81 26.09.2021 03:04:56,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 41736458 65535 84 26.09.2021 03:04:57,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 41278017 65535 84 26.09.2021 03:04:58,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 42346817 65535 85 26.09.2021 03:04:59,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 00000000 65535 20 26.09.2021 03:05:00,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 00000000 65535 20 26.09.2021 03:05:01,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 00000000 65535 20 26.09.2021 03:05:02,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 00000000 65535 20 26.09.2021 03:05:03,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 52013958 65535 84 26.09.2021 03:05:04,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 50512806 65535 84 26.09.2021 03:05:05,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 47713950 65535 87 26.09.2021 03:05:06,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 00000000 65535 20 26.09.2021 03:05:07,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 54128347 65535 85 26.09.2021 03:05:08,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 46440320 65535 85 26.09.2021 03:05:09,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 46501617 65535 85 26.09.2021 03:05:10,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 48773185 65535 85 26.09.2021 03:05:11,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 50105681 28568 85 26.09.2021 03:05:12,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 50094135 65535 85 26.09.2021 03:05:13,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 50124227 65535 85 26.09.2021 03:05:14,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 50323815 44817 84 26.09.2021 03:05:15,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 48553131 65535 85 26.09.2021 03:05:16,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 00000000 65535 20 26.09.2021 03:05:17,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 00000000 65535 20 26.09.2021 03:05:18,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 38087338 65535 85 26.09.2021 03:05:19,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 49495098 65535 85 26.09.2021 03:05:20,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 50008215 65535 85 26.09.2021 03:05:21,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 49339961 65535 81 26.09.2021 03:05:22,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 49372063 65535 84 26.09.2021 03:05:23,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 49439698 23239 80 26.09.2021 03:05:24,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 48626128 65535 84 26.09.2021 03:05:25,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 48010613 65535 85 26.09.2021 03:05:26,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 42706142 65535 85 26.09.2021 03:05:27,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 50772445 65535 85 26.09.2021 03:05:28,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 00000000 65535 20 26.09.2021 03:05:29,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 00000000 65535 20 26.09.2021 03:05:30,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 49777514 65535 85 26.09.2021 03:05:31,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 49343334 51596 85 26.09.2021 03:05:32,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 49527818 65535 87 26.09.2021 03:05:33,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 45740656 65535 87 26.09.2021 03:05:34,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 53086731 65535 87 26.09.2021 03:05:35,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 00000000 65535 20 26.09.2021 03:05:36,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 50242968 65535 84 26.09.2021 03:05:37,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 00000000 65535 20 26.09.2021 03:05:38,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 57755390 65535 87 26.09.2021 03:05:39,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 00000000 65535 20 26.09.2021 03:05:40,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 00000000 65535 20 26.09.2021 03:05:41,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 53299225 65535 87 26.09.2021 03:05:42,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 53593136 65535 87 26.09.2021 03:05:43,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 48010613 65535 87 26.09.2021 03:05:44,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 00000000 65535 20 26.09.2021 03:05:45,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51500725 65535 84 26.09.2021 03:05:46,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 53048429 65535 85 26.09.2021 03:05:47,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 49950607 65535 85 26.09.2021 03:05:48,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 52111411 65535 84 26.09.2021 03:05:49,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51908583 65535 84 26.09.2021 03:05:50,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 48228320 65535 85 26.09.2021 03:05:51,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 50011173 65535 81 26.09.2021 03:05:52,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51544678 65535 85 26.09.2021 03:05:53,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 48344134 65535 80 26.09.2021 03:05:54,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 52397528 65535 85 26.09.2021 03:05:55,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 00000000 65535 20 26.09.2021 03:05:56,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 00000000 65535 20 26.09.2021 03:05:57,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 50374674 65535 84 26.09.2021 03:05:58,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 48544808 65535 86 26.09.2021 03:05:59,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 49351938 08062 84 26.09.2021 03:06:00,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 49461591 14174 84 26.09.2021 03:06:01,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 49254454 20805 80 26.09.2021 03:06:02,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 49129247 02529 80 26.09.2021 03:06:03,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 49625196 51623 80 26.09.2021 03:06:04,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 49363005 65535 84 26.09.2021 03:06:05,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 49886709 30357 86 26.09.2021 03:06:06,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 50513187 07396 83 26.09.2021 03:06:07,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 50829419 08017 86 26.09.2021 03:06:08,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 50294821 05125 82 26.09.2021 03:06:09,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 50451225 12229 87 26.09.2021 03:06:10,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 50153052 12627 82 26.09.2021 03:06:11,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51128051 07974 83 26.09.2021 03:06:12,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51603708 05015 82 26.09.2021 03:06:13,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51961829 08980 86 26.09.2021 03:06:14,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51774637 08499 86 26.09.2021 03:06:15,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51650643 02599 82 26.09.2021 03:06:16,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 50920569 01524 82 26.09.2021 03:06:17,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51196249 03070 82 26.09.2021 03:06:18,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51194878 04346 82 26.09.2021 03:06:19,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51206060 02360 82 26.09.2021 03:06:20,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51209364 01277 82 26.09.2021 03:06:21,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 50968670 01845 82 26.09.2021 03:06:22,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 50236039 02891 86 26.09.2021 03:06:23,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 49061611 02421 87 26.09.2021 03:06:24,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 47367408 26181 87 26.09.2021 03:06:25,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 47434884 19147 87 26.09.2021 03:06:26,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
